"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Czech Republic (CZ)","03.01.2021 07:00 - 03.01.2021 08:00 (CET)","283","2765","239","326","218","7","n/e","n/e","n/e","0","396","146","30","n/e","3451","72","276","2","24","n/e","56"
"Czech Republic (CZ)","03.01.2021 08:00 - 03.01.2021 09:00 (CET)","282","2875","238","320","223","7","n/e","n/e","n/e","0","301","149","33","n/e","3450","76","278","6","24","n/e","49"
"Czech Republic (CZ)","03.01.2021 09:00 - 03.01.2021 10:00 (CET)","286","3275","247","330","226","7","n/e","n/e","n/e","0","5","148","26","n/e","3451","81","281","36","24","n/e","44"
"Czech Republic (CZ)","03.01.2021 10:00 - 03.01.2021 11:00 (CET)","288","3446","252","332","210","7","n/e","n/e","n/e","0","0","144","69","n/e","3455","81","282","84","24","n/e","43"
"Czech Republic (CZ)","03.01.2021 11:00 - 03.01.2021 12:00 (CET)","293","3708","255","340","215","8","n/e","n/e","n/e","77","0","146","62","n/e","3455","84","284","89","24","n/e","38"
"Czech Republic (CZ)","03.01.2021 12:00 - 03.01.2021 13:00 (CET)","295","3731","253","337","220","7","n/e","n/e","n/e","346","0","149","12","n/e","3457","82","284","93","24","n/e","25"
"Czech Republic (CZ)","03.01.2021 13:00 - 03.01.2021 14:00 (CET)","298","3471","258","331","218","7","n/e","n/e","n/e","603","0","151","14","n/e","3454","78","278","80","24","n/e","18"
"Czech Republic (CZ)","03.01.2021 14:00 - 03.01.2021 15:00 (CET)","287","3433","262","328","217","7","n/e","n/e","n/e","94","0","151","15","n/e","3449","70","274","44","24","n/e","15"
"Czech Republic (CZ)","03.01.2021 15:00 - 03.01.2021 16:00 (CET)","292","3670","264","332","219","7","n/e","n/e","n/e","570","0","152","15","n/e","3457","72","275","8","24","n/e","15"
"Czech Republic (CZ)","03.01.2021 16:00 - 03.01.2021 17:00 (CET)","290","3728","265","336","218","7","n/e","n/e","n/e","572","0","146","120","n/e","3453","77","277","2","24","n/e","13"
"Czech Republic (CZ)","03.01.2021 17:00 - 03.01.2021 18:00 (CET)","298","3799","283","346","217","7","n/e","n/e","n/e","751","0","144","138","n/e","3454","85","283","0","24","n/e","16"
"Czech Republic (CZ)","03.01.2021 18:00 - 03.01.2021 19:00 (CET)","300","3855","284","348","213","7","n/e","n/e","n/e","759","0","143","149","n/e","3466","87","286","0","24","n/e","15"
"Czech Republic (CZ)","03.01.2021 19:00 - 03.01.2021 20:00 (CET)","301","3843","298","344","211","7","n/e","n/e","n/e","372","0","146","89","n/e","3462","85","286","0","24","n/e","14"
"Czech Republic (CZ)","03.01.2021 20:00 - 03.01.2021 21:00 (CET)","305","3705","279","338","212","7","n/e","n/e","n/e","471","0","147","74","n/e","3459","80","284","0","24","n/e","17"
"Czech Republic (CZ)","03.01.2021 21:00 - 03.01.2021 22:00 (CET)","306","3664","288","327","211","7","n/e","n/e","n/e","0","0","151","13","n/e","3458","72","280","0","23","n/e","18"
"Czech Republic (CZ)","03.01.2021 22:00 - 03.01.2021 23:00 (CET)","304","3524","287","312","215","7","n/e","n/e","n/e","0","0","152","11","n/e","3458","54","273","0","23","n/e","15"
"Czech Republic (CZ)","03.01.2021 23:00 - 04.01.2021 00:00 (CET)","307","3514","259","308","217","8","n/e","n/e","n/e","0","323","152","11","n/e","3458","51","271","0","23","n/e","14"
"Czech Republic (CZ)","04.01.2021 00:00 - 04.01.2021 01:00 (CET)","291","3316","252","310","217","13","n/e","n/e","n/e","0","989","152","11","n/e","3459","50","268","0","23","n/e","14"
"Czech Republic (CZ)","04.01.2021 01:00 - 04.01.2021 02:00 (CET)","304","3067","243","305","223","12","n/e","n/e","n/e","0","1060","152","11","n/e","3458","51","262","0","23","n/e","15"
"Czech Republic (CZ)","04.01.2021 02:00 - 04.01.2021 03:00 (CET)","309","2852","245","307","226","12","n/e","n/e","n/e","0","1052","152","11","n/e","3457","52","261","0","23","n/e","14"
"Czech Republic (CZ)","04.01.2021 03:00 - 04.01.2021 04:00 (CET)","308","2805","230","306","220","11","n/e","n/e","n/e","0","1043","150","12","n/e","3460","52","261","0","23","n/e","13"
"Czech Republic (CZ)","04.01.2021 04:00 - 04.01.2021 05:00 (CET)","306","2984","236","310","245","13","n/e","n/e","n/e","0","1032","150","12","n/e","3459","52","260","0","23","n/e","13"
"Czech Republic (CZ)","04.01.2021 05:00 - 04.01.2021 06:00 (CET)","309","3317","253","423","291","15","n/e","n/e","n/e","0","786","150","12","n/e","3456","53","263","0","23","n/e","11"
"Czech Republic (CZ)","04.01.2021 06:00 - 04.01.2021 07:00 (CET)","311","3776","292","775","337","14","n/e","n/e","n/e","0","25","149","20","n/e","3459","82","273","0","23","n/e","10"
"Czech Republic (CZ)","04.01.2021 07:00 - 04.01.2021 08:00 (CET)","312","4161","290","1068","418","17","n/e","n/e","n/e","0","0","138","142","n/e","3459","85","277","2","24","n/e","11"
"Czech Republic (CZ)","04.01.2021 08:00 - 04.01.2021 09:00 (CET)","315","4354","270","1191","413","19","n/e","n/e","n/e","205","0","139","223","n/e","3457","90","282","4","24","n/e","10"
"Czech Republic (CZ)","04.01.2021 09:00 - 04.01.2021 10:00 (CET)","311","4462","278","1194","392","18","n/e","n/e","n/e","410","0","136","235","n/e","3458","91","283","25","24","n/e","8"
"Czech Republic (CZ)","04.01.2021 10:00 - 04.01.2021 11:00 (CET)","309","4419","276","1191","393","17","n/e","n/e","n/e","304","0","136","237","n/e","3461","90","284","54","24","n/e","7"
"Czech Republic (CZ)","04.01.2021 11:00 - 04.01.2021 12:00 (CET)","174","4451","281","1174","404","13","n/e","n/e","n/e","336","0","0","215","n/e","3459","86","286","65","10","n/e","7"
"Czech Republic (CZ)","04.01.2021 12:00 - 04.01.2021 13:00 (CET)","314","4480","278","1203","399","18","n/e","n/e","n/e","379","0","137","198","n/e","3460","89","286","62","25","n/e","8"
"Czech Republic (CZ)","04.01.2021 13:00 - 04.01.2021 14:00 (CET)","315","4468","276","1187","389","17","n/e","n/e","n/e","387","0","140","194","n/e","3459","88","285","53","25","n/e","9"
"Czech Republic (CZ)","04.01.2021 14:00 - 04.01.2021 15:00 (CET)","314","4487","275","1181","385","16","n/e","n/e","n/e","201","0","140","191","n/e","3458","88","285","33","24","n/e","10"
"Czech Republic (CZ)","04.01.2021 15:00 - 04.01.2021 16:00 (CET)","312","4481","274","1178","385","16","n/e","n/e","n/e","416","0","139","266","n/e","3456","87","286","8","24","n/e","12"
"Czech Republic (CZ)","04.01.2021 16:00 - 04.01.2021 17:00 (CET)","314","4556","276","1183","386","17","n/e","n/e","n/e","527","0","140","341","n/e","3454","88","286","3","24","n/e","15"
"Czech Republic (CZ)","04.01.2021 17:00 - 04.01.2021 18:00 (CET)","311","4545","276","1187","387","17","n/e","n/e","n/e","545","0","139","340","n/e","3454","90","288","0","24","n/e","16"
"Czech Republic (CZ)","04.01.2021 18:00 - 04.01.2021 19:00 (CET)","309","4540","275","1178","388","16","n/e","n/e","n/e","360","0","141","198","n/e","3453","90","291","0","23","n/e","21"
"Czech Republic (CZ)","04.01.2021 19:00 - 04.01.2021 20:00 (CET)","309","4510","274","1184","377","16","n/e","n/e","n/e","239","0","141","182","n/e","3453","90","290","0","24","n/e","24"
"Czech Republic (CZ)","04.01.2021 20:00 - 04.01.2021 21:00 (CET)","308","4482","270","1181","387","14","n/e","n/e","n/e","268","0","146","89","n/e","3451","87","290","0","23","n/e","26"
"Czech Republic (CZ)","04.01.2021 21:00 - 04.01.2021 22:00 (CET)","308","4446","293","1173","405","17","n/e","n/e","n/e","82","0","145","75","n/e","3454","79","286","0","23","n/e","30"
"Czech Republic (CZ)","04.01.2021 22:00 - 04.01.2021 23:00 (CET)","308","4425","298","852","408","19","n/e","n/e","n/e","86","0","150","28","n/e","3452","58","276","0","24","n/e","34"
"Czech Republic (CZ)","04.01.2021 23:00 - 05.01.2021 00:00 (CET)","306","3979","299","325","371","21","n/e","n/e","n/e","0","0","150","23","n/e","3451","56","274","0","23","n/e","42"
"Czech Republic (CZ)","05.01.2021 00:00 - 05.01.2021 01:00 (CET)","307","3542","252","313","317","16","n/e","n/e","n/e","0","685","139","21","n/e","3453","50","269","0","23","n/e","43"
"Czech Republic (CZ)","05.01.2021 01:00 - 05.01.2021 02:00 (CET)","307","3559","251","311","322","16","n/e","n/e","n/e","0","1059","140","21","n/e","3453","48","267","0","23","n/e","44"
"Czech Republic (CZ)","05.01.2021 02:00 - 05.01.2021 03:00 (CET)","308","3435","249","309","316","15","n/e","n/e","n/e","0","1056","143","21","n/e","3453","48","266","0","23","n/e","46"
"Czech Republic (CZ)","05.01.2021 03:00 - 05.01.2021 04:00 (CET)","309","3373","248","309","317","15","n/e","n/e","n/e","0","1049","143","20","n/e","3454","48","266","0","23","n/e","44"
"Czech Republic (CZ)","05.01.2021 04:00 - 05.01.2021 05:00 (CET)","310","3590","251","314","327","16","n/e","n/e","n/e","0","1039","142","20","n/e","3454","50","266","0","23","n/e","40"
"Czech Republic (CZ)","05.01.2021 05:00 - 05.01.2021 06:00 (CET)","310","3665","249","322","328","16","n/e","n/e","n/e","0","925","140","21","n/e","3452","54","267","0","23","n/e","41"
"Czech Republic (CZ)","05.01.2021 06:00 - 05.01.2021 07:00 (CET)","311","4039","272","589","346","14","n/e","n/e","n/e","41","61","137","30","n/e","3454","81","277","0","24","n/e","43"
"Czech Republic (CZ)","05.01.2021 07:00 - 05.01.2021 08:00 (CET)","311","4499","263","1110","391","17","n/e","n/e","n/e","79","0","134","59","n/e","3457","88","277","2","25","n/e","44"
"Czech Republic (CZ)","05.01.2021 08:00 - 05.01.2021 09:00 (CET)","311","4531","262","1175","408","16","n/e","n/e","n/e","418","0","126","133","n/e","3458","88","276","5","25","n/e","33"
"Czech Republic (CZ)","05.01.2021 09:00 - 05.01.2021 10:00 (CET)","311","4546","266","1191","408","18","n/e","n/e","n/e","426","0","124","190","n/e","3464","89","275","29","25","n/e","32"
"Czech Republic (CZ)","05.01.2021 10:00 - 05.01.2021 11:00 (CET)","311","4613","268","1190","406","19","n/e","n/e","n/e","452","0","131","181","n/e","3468","91","273","55","25","n/e","30"
"Czech Republic (CZ)","05.01.2021 11:00 - 05.01.2021 12:00 (CET)","310","4617","266","1180","405","18","n/e","n/e","n/e","533","0","134","107","n/e","3468","91","278","72","25","n/e","30"
"Czech Republic (CZ)","05.01.2021 12:00 - 05.01.2021 13:00 (CET)","309","4595","263","1186","403","17","n/e","n/e","n/e","488","0","134","107","n/e","3468","90","281","73","25","n/e","31"
"Czech Republic (CZ)","05.01.2021 13:00 - 05.01.2021 14:00 (CET)","309","4624","267","1185","406","19","n/e","n/e","n/e","386","0","133","112","n/e","3469","90","282","56","25","n/e","29"
"Czech Republic (CZ)","05.01.2021 14:00 - 05.01.2021 15:00 (CET)","309","4588","262","1192","389","17","n/e","n/e","n/e","247","0","134","114","n/e","3468","91","284","37","24","n/e","28"
"Czech Republic (CZ)","05.01.2021 15:00 - 05.01.2021 16:00 (CET)","309","4507","262","1186","397","17","n/e","n/e","n/e","70","0","132","164","n/e","3465","91","284","13","25","n/e","26"
"Czech Republic (CZ)","05.01.2021 16:00 - 05.01.2021 17:00 (CET)","309","4458","262","1188","406","17","n/e","n/e","n/e","465","0","128","240","n/e","3467","90","284","2","25","n/e","24"
"Czech Republic (CZ)","05.01.2021 17:00 - 05.01.2021 18:00 (CET)","310","4423","261","1188","409","17","n/e","n/e","n/e","412","0","127","256","n/e","3466","90","285","0","25","n/e","17"
"Czech Republic (CZ)","05.01.2021 18:00 - 05.01.2021 19:00 (CET)","308","4356","261","1189","406","16","n/e","n/e","n/e","83","0","125","263","n/e","3466","90","288","0","25","n/e","18"
"Czech Republic (CZ)","05.01.2021 19:00 - 05.01.2021 20:00 (CET)","309","4347","260","1188","401","16","n/e","n/e","n/e","56","0","130","165","n/e","3469","90","290","0","25","n/e","16"
"Czech Republic (CZ)","05.01.2021 20:00 - 05.01.2021 21:00 (CET)","307","4298","261","1171","382","16","n/e","n/e","n/e","0","0","137","54","n/e","3470","89","289","0","24","n/e","16"
"Czech Republic (CZ)","05.01.2021 21:00 - 05.01.2021 22:00 (CET)","307","4234","261","578","350","16","n/e","n/e","n/e","0","0","140","35","n/e","3470","80","285","0","23","n/e","15"
"Czech Republic (CZ)","05.01.2021 22:00 - 05.01.2021 23:00 (CET)","305","3927","273","332","344","18","n/e","n/e","n/e","0","0","140","32","n/e","3471","57","275","0","23","n/e","15"
"Czech Republic (CZ)","05.01.2021 23:00 - 06.01.2021 00:00 (CET)","306","3827","249","319","319","16","n/e","n/e","n/e","0","137","138","28","n/e","3470","55","273","0","23","n/e","16"
"Czech Republic (CZ)","06.01.2021 00:00 - 06.01.2021 01:00 (CET)","306","3854","259","321","324","28","n/e","n/e","n/e","0","842","134","76","n/e","3470","50","268","0","23","n/e","13"
"Czech Republic (CZ)","06.01.2021 01:00 - 06.01.2021 02:00 (CET)","304","3827","256","320","322","28","n/e","n/e","n/e","0","1035","132","69","n/e","3472","50","269","0","23","n/e","12"
